0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,15,0,9,10,11,
0,183,184,185,0,0,0,0,0,0,0,0,0,29,30,31,0,25,26,27,
0,199,200,201,0,9,10,11,0,0,0,0,0,0,0,0,0,41,42,43,
0,215,216,217,97,25,26,27,0,0,0,0,0,97,0,0,97,0,0,97,
0,231,232,233,113,41,42,43,0,0,0,0,0,113,98,100,113,98,100,113,
0,0,0,0,129,0,0,0,0,0,0,0,0,129,114,116,0,114,116,129,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,92,93,94,95,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,107,108,109,110,111,112,0,0,0,0,0,0,
0,0,130,131,132,0,0,0,123,124,125,126,127,128,0,0,0,0,0,0,
0,0,146,147,148,0,0,0,139,140,141,142,143,144,9,10,11,13,14,15,
0,0,162,163,164,0,0,0,0,156,157,158,159,0,25,26,27,29,30,31,
0,0,178,179,180,0,183,184,185,172,173,174,175,0,41,42,43,45,46,47,
0,0,194,195,196,0,199,200,201,188,189,190,191,0,0,0,97,0,0,0,
0,0,210,211,212,0,215,216,217,204,205,206,207,98,99,100,113,98,99,100,
0,0,226,227,228,0,231,232,233,220,221,222,223,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,236,0,0,239,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
