0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
220,221,221,221,222,0,220,221,221,221,221,221,221,221,221,221,221,221,222,0,
236,214,215,0,238,65,236,216,0,0,0,0,0,0,0,0,0,150,238,66,
236,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,
236,0,0,0,238,65,236,0,0,0,0,0,0,0,0,0,0,0,238,0,
236,0,0,0,238,0,236,81,0,0,0,0,0,0,0,0,129,130,238,0,
252,253,253,253,254,0,252,253,253,253,253,253,253,253,253,253,253,253,254,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,66,66,0,
220,221,221,221,221,222,0,220,221,221,221,221,221,221,221,221,222,0,0,0,
236,0,0,0,0,238,0,236,0,0,0,0,0,0,0,0,0,0,0,0,
236,0,0,0,0,238,0,236,0,0,0,0,129,130,0,0,238,66,66,66,
236,129,130,0,0,238,0,236,0,0,0,0,0,0,0,0,238,0,0,0,
236,0,0,0,0,238,0,252,253,253,253,253,0,253,253,253,254,66,66,0,
236,0,0,0,0,238,0,0,0,0,0,66,0,0,0,0,0,0,66,0,
236,0,83,83,0,238,0,0,0,0,0,66,66,66,66,66,66,0,66,0,
236,0,0,0,0,238,221,221,221,221,221,221,221,221,221,221,221,0,222,0,
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,
236,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,238,0,
236,129,130,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,238,0,
252,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,254,0
